#AOCI-CODE-VOLUME: 1

===/Users/kdongnmt.edu/Desktop/mind canvas/代码_mindcanvas/===
.gitattributes[FV4T]: F:强制全仓文本以LF检出，二进制自动识别不改写 | R:- | A:- | S:Windows autocrlf 重写换行会让 AOCI 基线整树 stale
010_job_queue.sql[PW8S]: F:持久化异步任务队列job_queue：解析、Rubric生成与AI初评等多类型复用，含重试、优先级与worker标识 | R:code:configs/007_assignment.sql | A:- | S:关联实体故意不设外键，避免级联删除阻断队列；status='queued' 部分索引承载worker拉取；重试超 max_retries（默认3）标记 failed；priority 数字越小越优先
011_avatar.sql[PU3T]: F:为room_sessions与users新增avatar_url，支持自定义头像 | R:code:configs/001_init.sql | A:- | S:avatar_url 优先级高于预设 avatar_id
012_chat.sql[PA6S]: F:养成类对话系统四表 chat_personas/chat_sessions/chat_messages/chat_memory_files 与users.chat_enabled开关 | R:code:configs/014_chat_logs.sql | A:- | S:插入的 Victoria 账号密码写死为 $placeholder$，须由启动代码替换成真实 bcrypt hash；api_key_hint 只存末四位
012_groups_v2.sql[PB4T]: F:为room_groups补leader_uuid与sort_order字段及排序索引 | R:code:configs/002_dropzone.sql | A:- | S:与012_chat.sql编号重复但确为两个独立文件，非笔误
013_shelf.sql[PB6T]: F:协作墙卡片表shelf_cards：文本图片链接三类卡片、分组归属、排序与教师隐藏 | R:code:configs/002_dropzone.sql | A:- | S:element_id 外键指向 room_elements，分组删除时 group_id 置 NULL；is_hidden 是教师隐藏而非删除
014_chat_logs.sql[PO5T]: F:chat_logs表：按每条user消息记录模型、token用量、耗时与错误 | R:code:configs/012_chat.sql | A:- | S:session_id 是前端传入的文本会话ID，既非 chat_sessions 主键也未建外键
015_html_widget.sql[PB7T]: F:html_widget_contents 表：按 element_id 存 HTML 展示组件源码与字节数 | R:code:configs/001_init.sql,code:configs/023_courseware.sql | A:- | S:源码不进 room_elements.payload（REQ-032 教训：base64 撑爆 2MB 场景容量）；广播只传 element_id 由客户端各自 GET；应用层上限 512KB
016_lecture_report.sql[PB8S]: F:讲评报告六表：报告主表、内容块、错因标签库、错误证据、推荐题与教师偏好事件，并预置8类系统错因标签 | R:code:configs/007_assignment.sql,code:configs/017_student_remediation.sql | A:- | S:本期只读写报告主表与内容块，其余四表只建骨架待后续期；结尾 GRANT 给 mindcanvas 是防 postgres-owner 坑——用 sudo -u postgres 跑迁移会让表 owner 是 postgres，App 以 mindcanvas 连库将无权限
017_student_remediation.sql[PB7T]: F:assignment_student_remediations 学生补救表，并放宽 teacher_preference_events 两处 CHECK | R:code:configs/016_lecture_report.sql | A:- | S:diagnosis 是教师版诊断仅教师可见，gentle_feedback 才下发学生；student_uuid 通用码形态为 token-<作业码>-<姓名> 故留 200 位
018_room_collab_mode.sql[PI6T]: F:为 rooms 新增 collab_mode：roster 实名 / anonymous 匿名(默认) / team 团队 | R:code:configs/019_classes_roster.sql | A:- | S:collab_mode 与既有 room_mode（画布形态）正交，切勿混用；默认 anonymous 完全保持现状、存量房间零回填；team 形态下人人可删他人元素
019_classes_roster.sql[PI8T]: F:classes 班级表与 class_students 花名册成员表，并为 rooms 加 class_id | R:code:configs/018_room_collab_mode.sql,code:configs/008_assignment_v2.sql | A:- | S:class_students.id 就是稳定 student_id，roster 房间入场时写进 room_sessions.student_uuid，作业侧专属码与花名册零迁移自动继承；稳定 id 不落 users 空间，故 token_service 用 NOT EXISTS users 排除教师时仍被正确纳入；rooms.class_id 仅 roster 形态用
020_html_events_knowledge.sql[PA6T]: F:knowledge_points 最小知识点表，并给 widget_interactions 挂 knowledge_point_id | R:code:configs/001_init.sql | A:- | S:知识点按 (teacher_id,name) 唯一，一期只做班级/教师级 roll-up；新表 owner 是 postgres 故建表后 GRANT ALL TO mindcanvas
021_diagram_samples.sql[PA7T]: F:diagram_generations 表：采集 AI 图形生成的输入、修复、耗时与老师后续动作 | R:code:configs/022_diagram_survival.sql | A:- | S:room_id 故意不加外键——采集是旁路，绝不能因房间被删让 INSERT 失败拖累生成主流程；input_text 入库前截断到 4000 字符，原长另存 input_chars
022_diagram_survival.sql[PA7T]: F:给 diagram_generations 加存活观测列：插入元素id、元素数、存活数与 survival 判定 | R:code:configs/021_diagram_samples.sql | A:- | S:outcome='inserted' 是默认动作不是质量信号（零区分度），故新增服务端存活判定，与 outcome 分列并存不互相覆盖；switched_type 与 regenerated_same_input 仍准
023_courseware.sql[PB8T]: F:courseware_packages 课件包表，并给 html_widget_contents 挂 courseware_id | R:code:configs/015_html_widget.sql | A:- | S:课件文件落 /opt/mindcanvas/courseware/<id>/ 而非 uploads/——nginx 对 uploads 是直出无鉴权，放那里会让二期的密码与有效期被『知道路径就能访问』绕过；粘贴源码与 zip 课件两种来源互斥，由应用层保证，故意不加 CHECK
024_room_scene_snapshots.sql[PR8T]: F:room_scene_snapshots 表：批量删除前留档完整场景，含存活元素数与触发者角色 | R:code:configs/004_scene_persistence.sql | A:- | S:起因是 2026-08-11 生产事故：286 个存活元素被一次操作删除，救回来靠的是 30 秒节流让 PG 那份恰好落后 12 秒——运气不是韧性；room_id 不加外键（旁路取证不能拖累编辑），靠 pruneSnapshots 每房间份数上限兜底；trigger_role 单独成列，不靠 guest- 前缀推断身份
025_agent.sql[PA8S]: F:房间智能体四件套：users.agent_enabled 开关、agent_conversations、agent_messages 与带版本的 agent_prompts | R:code:configs/012_chat.sql,code:configs/026_agent_prime.sql,code:configs/027_agent_prompt_v2.sql | A:- | S:agent_enabled 不复用 chat_enabled（养成对话是另一功能，复用后无法分别停用）；is_test 列从第一天就区分真实课堂与验收自测，因 REQ-050 曾攒下 8 条全是开发自测的样本却无法区分；finish_reason 与 truncated 是一等列而非日志，截断信号漏读已栽过三次
026_agent_prime.sql[PA6T]: F:插入 summarize_room 与 name_room 两个提示词初版，不建新表 | R:code:configs/025_agent.sql | A:- | S:复用 025 预留的 prompt_key 与 agent_conversations.title 列；仅在该 key 尚无任何版本时插入，重跑不覆盖线上已调过的版本
027_agent_prompt_v2.sql[PA6T]: F:头脑风暴提示词 v2：补「看不到内容的部分」披露指引，并关闭 v1 的 is_active | R:code:configs/025_agent.sql | A:- | S:v1 因 BuildCanvasContext 静默跳过无文字元素而不知自己漏了内容；同一 key 只留一个 is_active，走新增版本而非改存量行
profanity_words.txt[FS4T]: F:词云敏感词过滤词表，每行一个中文脏词 | R:code:server/services/profanity.go | A:- | S:-

===/Users/kdongnmt.edu/Desktop/mind/loadtest/===
ws_baseline.js[TP5S]: F:k6 WebSocket 并发基线：50/100/200 VU 三阶段建连，测连接耗时、首条 room_sync 与 Ping-Pong 往返 | R:code:loadtest/ws_scene.js,code:loadtest/ws_vote.js | A:- | S:房间 id 与 ws://localhost:8080 硬编码在脚本里，换环境必须改；阈值为成功率>95%、建连 P95<2s、PingPong P95<500ms
ws_scene.js[TP5S]: F:k6 场景洪泛压测：50 VU 每 500ms 发一次 scene_update，持续 10 分钟 | R:code:loadtest/ws_baseline.js | A:- | S:刻意用小场景的 test 房间，避免触发 5MB 场景拒绝；元素带 customData.creatorId 以走真实归属校验路径
ws_vote.js[TB5S]: F:k6 投票并发压测：100 VU 同时提交投票，验证唯一约束 | R:code:configs/001_init.sql | A:- | S:payload 的 option 传选项文字而非索引，且必须与 DB 中 payload.options 完全一致；收到「已经投过票」视为唯一约束正常故计成功

===/Users/kdongnmt.edu/Desktop/mind/markitdown-service/===
app.py[EB8M]: F:Flask 解析微服务：文件/本地路径/纯文本三种解析入口与 PDF 逐页渲染 | R:- | A:GET /health,POST /parse/file,POST /parse/path,POST /parse/text,POST /render/pdf-pages | S:只监听 127.0.0.1:8081 不对外；/parse/path 用 realpath 限定在 /opt/mindcanvas/uploads/ 前缀内否则 403；单文件上限 50MB；PDF 最多渲染前 10 页、scale=2.0，本服务只渲染不碰 AI，OCR 由 Go 后端逐页调用

===/Users/kdongnmt.edu/Desktop/mind/scripts/===
backup.sh[OR8S]: F:每日备份 PG 与 uploads，7 天滚动、周日归档留 90 天，并加密放入待取件目录等异地机器拉取 | R:code:scripts/mac_pull_offsite_backup.sh | A:- | S:异地副本采用服务器只加密暂存、由异地机器主动拉取的方式（服务器不主动推送）；加密密钥读 /etc/mindcanvas/backup.key，值在运维凭证文档里不写进脚本；异地环节失败不算本次备份失败
com.mindcanvas.offsitepull.plist.example[OR5T]: F:launchd 定时任务模板：每天 7:00 跑异地副本拉取脚本，含标准输出与错误日志路径 | R:code:scripts/mac_pull_offsite_backup.sh | A:- | S:脚本路径在 Desktop/Documents/Downloads 下会被 macOS TCC 拦成 Operation not permitted，须复制到 ~/mindcanvas-scripts/ 再填；该副本不随仓库更新
mac_pull_offsite_backup.sh[OR6T]: F:异地机器用 rsync 从服务器待取件目录拉回加密备份，并清理超期本地副本 | R:code:scripts/backup.sh,code:scripts/com.mindcanvas.offsitepull.plist.example | A:- | S:跑在异地 Mac 的正常终端，不是服务器也不是 Cowork VM；--ignore-existing 使每天重跑不重传，BatchMode=yes 使免密未配好时直接失败而不卡在密码输入

===/Users/kdongnmt.edu/Desktop/mind/server/config/===
config.go[CC8M]: F:从 .env 与环境变量加载 Server/DB/Redis/JWT/OSS/CORS/敏感词/AI 八组配置，环境变量优先 | R:code:server/database/postgres.go,code:server/database/redis.go | A:- | S:JWT_SECRET 或 DB_PASSWORD 为空时 log.Fatal 直接终止启动，不留半配置状态；Get() 在未 Load 时同样 Fatal；默认模型 doubao-seed-2-1-turbo-260628

===/Users/kdongnmt.edu/Desktop/mind/server/database/===
postgres.go[PD8T]: F:用 database/sql 加 lib/pq 建 PostgreSQL 连接池，配置最大连接与生命周期并 Ping 健康检查 | R:code:server/config/config.go | A:- | S:包级单例 db 由 GetDB() 返回，调用方不自建连接；DSN 由配置拼成，查询一律参数化防注入；Ping 失败返回错误而非 panic
redis.go[PD7T]: F:初始化 Redis 客户端并 Ping 健康检查，供会话、黑名单、认领码与场景缓存使用 | R:code:server/config/config.go | A:- | S:PoolSize 硬编码为 10 以迁就小内存服务器，不随配置变化

===/Users/kdongnmt.edu/Desktop/mind/server/===
go.mod[FV6T]: F:Go 1.21 模块 mindcanvas-server，直接依赖 gin、jwt/v5、uuid、gorilla/websocket、godotenv、lib/pq、go-redis/v9 与 x/crypto | R:code:server/go.sum | A:- | S:模块名是 mindcanvas-server 而非仓库路径，包内一律以该名导入；redis 用 github.com/redis/go-redis/v9
go.sum[FV3S]: F:go.mod 依赖模块的校验和锁定文件，由 go 命令维护 | R:code:server/go.mod | A:- | S:-
main.go[EG9L]: F:服务启动入口：加载配置、初始化 PG/Redis/Hub、装配全部服务与处理器、注册路由、起后台任务与优雅关闭 | R:code:server/config/config.go,code:server/database/postgres.go,code:server/database/redis.go,code:server/middleware/auth.go,code:server/middleware/assignment_ownership.go,code:server/ws/hub.go | A:GET /health | S:配置固定读 /opt/mindcanvas/configs/.env；智能体单独一把 AGENT_ARK_API_KEY 与模型，不与全局 key 混用——新 key 所在账号未开通全局那个模型，设成全局会让图形生成、讲评分析、提炼与养成对话同时挂掉；/health 只读内存缓存，由后台 goroutine 每 10 秒刷新，不打 DB；作业路由组挂 AssignmentOwnership，新增子路由默认受保护；pprof 仅非 release 或显式开启时起在 6060

===/Users/kdongnmt.edu/Desktop/mind/server/handlers/===
admin_handler.go[EI8L]: F:管理后台：租户与用户 CRUD、启用停用、chat/agent 两个权限开关，以及教师房间统计与 CSV 导出 | R:code:server/middleware/role.go,code:server/models/user.go,code:server/utils/validator.go | A:POST /api/admin/tenants,GET /api/admin/tenants,POST /api/admin/users,GET /api/admin/users,PATCH /api/admin/users/:id/agent,GET /api/admin/room-stats | S:admin 只能在本租户内建用户且不能建 admin 或 superadmin；superadmin 的 tenant_id 必须传 nil 而非空串；密码经 bcrypt.DefaultCost 加密入库；CSV 先写 UTF-8 BOM 以兼容 Excel
agent_handler.go[EA8M]: F:房间智能体接口：SSE 流式多轮对话、冷启动摘要与历史恢复，登录/开通/房间归属三道校验 | R:code:server/services/agent_service.go,code:server/services/ai_service.go,code:server/services/room_service.go | A:POST /api/ai/agent/chat,GET /api/ai/agent/prime,GET /api/ai/agent/history | S:画布内容用 WrapUntrustedCanvasText 包边界，防学生借互动组件文字冒充指令；房间不存在与无权访问故意同措辞，不给探测者区分信号；截断随 done 事件如实告知；提问限 1–2000 字
assignment_handler.go[EB8L]: F:作业中心接口：作业 CRUD、材料上传与解析、Rubric 生成确认、学生提交与解析服务健康检查 | R:code:server/services/assignment_service.go,code:server/services/room_service.go | A:POST /api/assignments,GET /api/assignments,POST /api/assignments/:aid/materials,PUT /api/assignments/:aid/rubric,POST /api/assignments/:aid/submit,GET /api/assignments/:aid/parser/health | S:room_id 必须过 checkRoomOwned 校验归属，空串归一为 nil 表示解绑；上传文件名一律换成纳秒时间戳加白名单扩展名，白名单外落为 .bin；材料入库后异步触发解析；学生提交凭 X-Student-UUID 或 query 的 uuid
auth_handler.go[EI8M]: F:登录、登出、当前用户与个人资料修改，JWT 写入 HttpOnly Cookie | R:code:server/utils/jwt.go,code:server/middleware/auth.go | A:POST /api/auth/login,POST /api/auth/logout,GET /api/auth/me,PUT /api/auth/profile | S:用户名不存在与密码错误返回同一句提示，不泄露账号是否存在；Token 只进 HttpOnly Cookie，响应体不含它；/me 直接查库补 chat_enabled 与 agent_enabled，否则刷新后前端功能入口会消失
chat_handler.go[EA7L]: F:养成类对话：人设、会话与消息、发送并调模型、按轮次异步压缩记忆、文件记忆库增删与启停 | R:code:configs/012_chat.sql,code:server/handlers/chat_handler_patch.go | A:GET /api/chat/persona,POST /api/chat/sessions,POST /api/chat/sessions/:sid/send,POST /api/chat/memory/upload,PATCH /api/chat/memory/files/:fid/toggle,POST /api/chat/proxy | S:callClaude 实际读 ARK_* 环境变量调豆包并自建 http 客户端；ClaudeProxy 把前端 X-API-Key 原样转发到 app.yylx.io；压缩时保留最后 4 条不标记
chat_handler_patch.go[EA6S]: F:豆包 SSE 流式对话与模型列表接口，回复结束后异步写 chat_logs 用量 | R:code:server/services/ai_service.go,code:configs/014_chat_logs.sql | A:- | S:writeChatLog 在 goroutine 里用请求 ctx 执行 INSERT，请求结束 ctx 即取消，用量日志可能写不进去；图片只挂在最后一条 user 消息上
class_handler.go[EI6S]: F:班级与花名册接口：建班列班删班、花名册增删与粘名批量导入 | R:code:server/services/class_service.go | A:POST /api/classes,GET /api/classes,DELETE /api/classes/:cid,GET /api/classes/:cid/students,POST /api/classes/:cid/students,POST /api/classes/:cid/students/import | S:归属校验全部下沉在 ClassService，处理器只透传 teacherID 与 role；导入返回 inserted 与 skipped 两个计数
courseware_handler.go[EB8M]: F:zip 课件上传解压建组件并广播，以及经 Go 下发课件内单个文件 | R:code:server/services/courseware_service.go,code:configs/023_courseware.sql | A:POST /api/rooms/:id/courseware,GET /api/rooms/:id/elements/:eid/courseware,GET /api/rooms/:id/elements/:eid/courseware/files/*filepath | S:下发用 http.ServeContent 而非 ServeFile——后者对 /index.html 结尾会重定向到 ./ 使课件一加载就报错；*filepath 已由 net/http 解码，二次 unescape 会把 %2e%2e 还原成 .. 开出穿越口；MIME 白名单外一律 octet-stream 加 attachment；任一步失败回滚删库删盘
diagram_handler.go[EA8M]: F:AI 图形生成入口：五类图型校验、调模型、结构体检修复、致命时重生成一次，并旁路采集样本与老师后续动作 | R:code:server/handlers/diagram_validate.go,code:server/services/diagram_prompt.go,code:server/services/diagram_sample_service.go | A:POST /api/ai/diagram,POST /api/ai/diagram/:gid/outcome | S:输入按 rune 截断 8000 字，入库另截 4000；采集是旁路，失败只记日志并返回空 generation_id，绝不影响出图；体检 Fatal 时带上轮毛病重生成一次，仍 Fatal 则 422 并附 raw
diagram_validate.go[KA8L]: F:转图前的确定性结构体检与修复：空与重复 id、空标签、自指与孤儿 parent、断环、唯一根、边两端存在，再按图型专项修 | R:code:server/handlers/diagram_handler.go | A:- | S:side 与 level 是前端从不读的死字段，层级一律以 parent 为准；decision 缺分支只提示不自动补，自动编一条就是造假；恰好两条空标签分支才补「是/否」；纯函数只依赖 stdlib，可独立单测
flow_handler.go[EW8M]: F:课堂流程接口：流程 CRUD、激活推进结束、进度条开关，变更经 WS 广播；另有学生端只读进度 | R:code:server/services/flow_service.go,code:configs/003_teaching_flow.sql | A:GET /api/rooms/:id/flow,POST /api/rooms/:id/flow,POST /api/rooms/:id/flow/:fid/activate,POST /api/rooms/:id/flow/:fid/advance,PATCH /api/rooms/:id/flow/:fid/progress-visibility,GET /api/rooms/:id/flow/progress | S:节点数上限 50，超过直接 400；学生端进度接口不鉴权，故流程未激活或教师关闭可见时返回空而非节点内容；推进后若当前节点绑定 Widget 且 autoOpenWidget 为真，另广播一条提示
guest_handler.go[EI7S]: F:学生免注册入场与跨设备认领：入场、生成认领码、验证认领码 | R:code:server/services/session_service.go | A:POST /api/guest/join,POST /api/guest/reclaim/generate,POST /api/guest/reclaim/verify | S:入场时由处理器取 c.ClientIP() 传给服务层入库，用于 IP 封禁；三个接口都无 JWT，身份全靠请求体里的 UUID 与认领码
insight_handler.go[EA6T]: F:学情雷达：读取聚合数据与手动刷新（先失效 Redis 缓存再重算） | R:code:server/services/insight_service.go | A:GET /api/rooms/:id/insight,POST /api/rooms/:id/insight/refresh | S:在线人数由 hub 注入 InsightService，处理器不传该参数
lecture_edit_handler.go[EB6T]: F:讲评报告块编辑接口：更新、删除、单块异步重生成、任务轮询与整份确认 | R:code:server/handlers/lecture_handler.go,code:server/services/lecture_edit.go | A:PATCH /api/assignments/:aid/lecture/blocks/:bid,DELETE /api/assignments/:aid/lecture/blocks/:bid,POST /api/assignments/:aid/lecture/blocks/:bid/regenerate,GET /api/assignments/:aid/lecture/jobs/:jid,POST /api/assignments/:aid/lecture/confirm | S:方法挂在 AssignmentHandler 而非独立处理器，故自动继承 assignments 路由组的登录、角色与作业归属三道校验
lecture_handler.go[EB6T]: F:讲评分析接口：发起异步分析与获取报告，供前端轮询 | R:code:server/services/lecture_analyze.go,code:server/handlers/lecture_edit_handler.go | A:POST /api/assignments/:aid/lecture/analyze,GET /api/assignments/:aid/lecture/report | S:报告未生成时 report 字段返回 null 而非 404，前端据此判定；分析耗时约 1-3 分钟
parse_file_handler.go[EA8M]: F:AI 工作台文件解析入口：图片走豆包视觉 OCR，其余转 MarkItDown，扫描 PDF 再分页 OCR | R:code:markitdown-service/app.py,code:server/services/ai_service.go,code:server/services/assignment_service.go | A:POST /api/ai/parse-file | S:上限 20MB、图片 10MB，均低于作业材料的 50MB；仅当 PDF 且 MarkItDown 解出严格 0 字符才触发分页 OCR，OCR 全败则回退 0 字符结果而不报错；逐页 3 路并发、总超时 240s；临时文件用完即删不落库
pg_array.go[CD3T]: F:封装 pq.Array，供房间分组读写 PostgreSQL TEXT[] 字段 | R:code:server/handlers/room_handler.go | A:- | S:-
recommendation_handler.go[EB6T]: F:推荐练习接口：异步生成、任务轮询、列表、审核与发布为新作业 | R:code:server/services/recommendation.go | A:POST /api/assignments/:aid/recommendations/generate,GET /api/assignments/:aid/recommendations/jobs/:jid,GET /api/assignments/:aid/recommendations,PATCH /api/assignments/:aid/recommendations/:rid,POST /api/assignments/:aid/recommendations/publish | S:发布接口允许空 body，此时全量发布 accepted 状态的题；生成为异步，返回 job_id 供轮询
refine_handler.go[EA7S]: F:文本转 Markdown 提炼接口，并把上游错误映射成用户可读文案与 HTTP 状态 | R:code:server/services/refine_service.go | A:POST /api/ai/refine | S:输入限 1–20000 字、超时 120s；截断按阶段给不同提示——合并阶段是结尾断掉，压缩阶段是中间缺细节，分开说老师才会去核对原文
remediation_handler.go[EB7S]: F:学生补救接口：列表、异步生成、轮询、详情、编辑与发送，另有学生侧公开查看 | R:code:server/services/remediation.go,code:configs/017_student_remediation.sql | A:GET /api/assignments/:aid/remediations,POST /api/assignments/:aid/students/:sid/remediation/generate,GET /api/assignments/:aid/students/:sid/remediation,PATCH /api/assignments/:aid/students/:sid/remediation,POST /api/assignments/:aid/students/:sid/remediation/send,GET /api/submit/:aid/remediation | S::sid 是学生 uuid，含中文与连字符，前端须 encodeURIComponent；公开接口凭作业码加 uuid 双证，只回温和版反馈不含诊断
review_handler.go[EB6T]: F:同伴互评提交与列表，评价者身份按请求体、JWT Cookie、学生 Header 依次解析 | R:code:server/services/review_service.go,code:configs/005_peer_review.sql | A:POST /api/rooms/:id/elements/:eid/reviews,GET /api/rooms/:id/elements/:eid/reviews | S:resolveReviewerUUID 解析 mc_token 时给 jwt.Parse 的 keyfunc 返回 nil 密钥并忽略解析错误，只取 claims 不验签，身份可被伪造
room_handler.go[EB9L]: F:房间处理器：房间 CRUD、场控、导出与总结、分组与自动分组、成员踢出与封禁黑名单、作品墙打包下载、HTML 组件创建与源码读写 | R:code:server/services/room_service.go,code:server/services/export_service.go,code:server/services/widget_service.go,code:server/services/session_service.go,code:server/handlers/pg_array.go,code:server/ws/hub.go | A:PUT /api/rooms/:id/lock,POST /api/rooms/:id/kick,POST /api/rooms/:id/ban,POST /api/rooms/:id/unban,GET /api/rooms/:id/banned-members,POST /api/rooms/:id/groups/auto | S:踢出用 MarkStudentLeft（可重连），封禁走 BanStudent（Redis 永久 key+DB is_banned，reconnect 直接拒绝）；删房间先算影响面，关联作业/课件包时返 409 要求 ?confirm=true；场控广播用 BroadcastRaw 扁平 JSON；HTML 源码不进 payload，单独落 html_widget_contents，上限 512KB，先存源码再广播
scene_snapshot.go[PR8S]: F:画布删除前留档：统计删除与存活元素、阈值判定、写快照并按房间份数清理 | R:code:server/handlers/ws_handler.go,code:configs/024_room_scene_snapshots.sql | A:- | S:留档必须发生在 merge 之前，合并后删除已生效再存就只是把删空结果存一遍；阈值为删除数≥20 或吃掉存活的一半；同房间 60 秒内只留第一份，连发的后续几份已是删了一半的中间态；每房间保留 20 份；全程旁路，失败只记日志
